WMO_ID,NAME,PROPINSI_NAME,KABUPATEN_NAME,CURRENT_LATITUDE,CURRENT_LONGITUDE,CURRENT_ELEVATION_M
96595,Stasiun Meteorologi Beringin,Kalimantan Tengah,Kab. Barito Utara,-0.56,114.53,42
96607,Stasiun Meteorologi Aji Pangeran Tumenggung Pranoto,Kalimantan Timur,Kota Samarinda,-0.48,117.16,10
96615,Stasiun Meteorologi Rahadi Oesman,Kalimantan Barat,Kab. Ketapang,-1.8,109.97,9
96633,Stasiun Meteorologi Sultan Aji Muhammad Sulaiman Sepinggan,Kalimantan Timur,Kota Balikpapan,-1.26,116.9,3
96635,Stasiun Geofisika Balikpapan,Kalimantan Timur,Kota Balikpapan,-1.2553,116.91463,31
96645,Stasiun Meteorologi Iskandar,Kalimantan Tengah,Kab. Kotawaringin Barat,-2.73,111.66,22
96651,Stasiun Meteorologi H. Asan,Kalimantan Tengah,Kab. Kotawaringin Timur,-2.55,112.93,3
96653,Stasiun Meteorologi Sanggu,Kalimantan Tengah,Kab. Barito Selatan,-1.67,114.9,37
96655,Stasiun Meteorologi Tjilik Riwut,Kalimantan Tengah,Kota Palangkaraya,-2.22,113.95,27
96685,Stasiun Meteorologi Syamsudin Noor,Kalimantan Selatan,Kota Banjarmasin,-3.442,114.754,32
